EntryID,Reader,soil_core_volume_cm3,sample_size,Pixel_Lat,Pixel_Long,soil_depth_depth_cm,hyphal_density_m_cm3,soil_core_volume_reported,pot_soil_volume_reported,cultivated1_wild0_Pironon2023,GrowthFormKnown,Growth_Form_Grass,Growth_Form_Herb,Growth_Form_Shrub,Growth_Form_Tree,AMF_richness,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,HumanModification,MODIS_NPP,SG_Depth_to_bedrock,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,crops_ESA,cultivated_grassland_2010_2022,earthEnvLandcover_class_barren,earthEnvLandcover_class_cultivated_managed_vegetation,earthEnvLandcover_class_evergreen_broadleaf_trees,earthEnvLandcover_class_evergreen_decid_needleleaf_trees,earthEnvLandcover_class_herbaceous_vegetation,earthEnvLandcover_class_mixed_other_trees,earthEnvLandcover_class_regularly_flooded_vegetation,earthEnvLandcover_class_shrubs,grassland_class_2001,grassland_class_2010_2022,grassland_class_2021,harmonized_aboveground_biomass,harmonized_belowground_biomass,isric_soil_proportion_of_sand,myco_veg_cover,nitrogen,phosphorus,sampling_intensity,uncultivated_grassland_2010_2022,Season_NorthernHemHarmonized.Spring,Season_NorthernHemHarmonized_Autumn,Season_NorthernHemHarmonized_Summer,Season_NorthernHemHarmonized_Winter,Season_NorthernHemHarmonized_NA
E2758,Rachael,2000,4,39.54,-120,20,0.4814,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2757,Rachael,2000,4,39.54,-120,20,0.6936,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2752,Rachael,2000,4,39.54,-120,20,0.6938,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2759,Rachael,2000,4,39.54,-120,20,0.7335,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2754,Rachael,2000,4,39.54,-120,20,0.7341,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2762,Rachael,2000,4,39.54,-120,20,0.7759,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2755,Rachael,2000,4,39.54,-120,20,0.7812,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2741,Rachael,2000,4,39.54,-120,20,1.0341,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2748,Rachael,2000,4,39.54,-120,20,1.0725,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
E2753,Rachael,2000,4,39.54,-120,20,1.1947,1,0,1,1,0,0,0,1,20.56965828,1644.000122,93.30012512,413.0178223,297.300415,65.98994446,1041,3126,4801,-0.989333391,-0.068167321,1657,8.886966705,-4.1875,0.016861944,0,0.338079542,2052.678955,200,17.91832733,67.59157562,5,0,0,0,0,0,4,47,19,0,30,2,2,2,37,70,1067,89,3216,15.57471466,21.92528152,1,0,0,0,0,1
