binomial_acc_name,Growth_Form_Kew,Growth_Form_Secondary,Growth_Form_SecondarySource,Growth_Form_Final
Acacia holosericea,Tree,,,Tree
Acacia nilotica,Tree,,,Tree
Acer fabri,Tree,,,Tree
Acer saccharum,Tree,,,Tree
Achillea millefolium,Herb,,,Herb
Adesmia melanthes,Shrub,,,Shrub
Aegilops speltoides,Grass,,,Grass
Aegilops tauschii,Grass,,,Grass
Aegilops triuncialis,Grass,,,Grass
Agave sp,Herb,,,Herb
Agropyron repens,Herb,,,Herb
Agrostis gigantea,Grass,,,Grass
Agrostis scabra,Grass,,,Grass
Allium cepa,Herb,,,Herb
Allium porrum,Herb,,,Herb
Alniphyllum fortunei,Tree,,,Tree
Ambrosia chamissonis,Shrub,,,Shrub
Ambrosia dumosa,Shrub,,,Shrub
Ammophila arenaria,Grass,,,Grass
Amorpha canescens,Shrub,,,Shrub
Amsinckia douglasiana,Herb,,,Herb
Andropogon geradi + Sorghastrum nutans NA,NA,,,NA
Andropogon geradii,Grass,,,Grass
Andropogon gerardii,Grass,,,Grass
Andropogon greenwayi,Grass,,,Grass
Anemone cylindrica,Herb,,,Herb
Anthoxanthum odoratum,Grass,,,Grass
Anthoxanthum ovina,Grass,,,Grass
Anthyllis vulneraria,Herb,,,Herb
Artemisia filifolia,,Shrub,https://www.wildflower.org/plants/result.php?id_plant=ARFI2,Shrub
Artemisia frigida,Shrub,,,Shrub
Artemisia sphaerocephala,Shrub,,,Shrub
Artemisia tridentata,Tree,,,Tree
Asclepias tuberosa,,Herb,https://www.wildflower.org/plants/result.php?id_plant=astu,Herb
Aster novae-angliae,,Herb,https://www.wildflower.org/plants/result.php?id_plant=syno2,Herb
Astragalus adsurgens,Herb,,,Herb
Astragalus sinicus,Herb,,,Herb
Avena barbata,Grass,,,Grass
Avena sativa,Grass,,,Grass
Baccharis scandens,Shrub,,,Shrub
Baccharis tola,,Shrub,https://www.sciencedirect.com/science/article/abs/pii/S0031942200840364,Shrub
