BIOME_NAME,mean_m_cm3,sd_m_cm3,cov,mean_km_km2,sd_km_km2,total_km,total_sd_km
Tropical & Subtropical Moist Broadleaf Forests,3.906295771,0.88431587,0.068756761,585944365.6,132647380.4,1.32837E+16,3.61887E+14
Tropical & Subtropical Dry Broadleaf Forests,3.969222293,0.924015874,0.060671453,595383343.9,138602381.1,2.69373E+15,6.94752E+13
Tropical & Subtropical Coniferous Forests,4.924294372,1.01307337,0.061593033,738644155.9,151961005.5,6.30828E+14,1.39459E+13
Temperate Broadleaf & Mixed Forests,4.109667421,1.173233978,0.069269919,616450113.2,175985096.7,1.15651E+16,3.23699E+14
Temperate Conifer Forests,4.743213448,1.128485217,0.064506828,711482017.2,169272782.5,4.1844E+15,1.00884E+14
Boreal Forests/Taiga,3.988253773,0.696280324,0.064205396,598238065.9,104442048.6,1.92287E+16,5.32427E+14
"Tropical & Subtropical Grasslands, Savannas & Shrublands",4.290795822,0.768051909,0.064001122,643619373.3,115207786.3,1.48665E+16,4.09256E+14
"Temperate Grasslands, Savannas & Shrublands",4.058915229,0.934937766,0.06333585,608837284.4,140240664.9,9.88214E+15,2.76322E+14
Flooded Grasslands & Savannas,4.534144357,0.955478244,0.060816587,680121653.6,143321736.5,8.34936E+14,2.14735E+13
Montane Grasslands & Shrublands,5.419184015,1.132050502,0.064896014,812877602.2,169807575.3,3.84856E+15,9.72413E+13
Tundra,4.442115341,0.865481454,0.071170934,666317301.1,129822218.1,1.96394E+16,2.77591E+14
"Mediterranean Forests, Woodlands & Scrub",4.043191388,1.104240262,0.068065224,606478708.2,165636039.4,2.43626E+15,6.81649E+13
Deserts & Xeric Shrublands,3.935200074,0.866459489,0.087007763,590280011.1,129968923.3,8.44351E+15,3.93746E+14
Mangroves,4.710845791,1.069300572,0.06106009,706626868.7,160395085.9,1.86828E+14,2.7105E+12
