ECO_ID,BIOME_NAME,mean_m_cm3,sd_m_cm3,ECO_NAME
449,Tropical & Subtropical Moist Broadleaf Forests,8.394290944,2.799167084,Cayos Miskitos-San Andrés and Providencia moist forests
552,Tropical & Subtropical Coniferous Forests,7.833447351,1.591631958,Bahamian pineyards
581,Flooded Grasslands & Savannas,7.245481473,0.791637403,Everglades flooded grasslands
196,Tundra,6.942036401,1.557606588,Antipodes Subantarctic Islands tundra
169,Temperate Broadleaf & Mixed Forests,6.909582649,1.45865062,Fiordland temperate forests
612,Mangroves,6.565095615,1.772299069,Bahamian-Antillean mangroves
406,Tundra,6.481117542,1.023184102,Aleutian Islands tundra
369,Boreal Forests/Taiga,6.480292355,1.115107087,Alaska Peninsula montane taiga
579,Flooded Grasslands & Savannas,6.300617118,1.483922515,Cuban wetlands
752,Montane Grasslands & Shrublands,6.191749462,1.208158157,Ghorat-Hazarajat alpine meadow
705,Temperate Conifer Forests,6.175289578,1.290182963,Qilian Mountains conifer forests
729,"Temperate Grasslands, Savannas & Shrublands",6.134738243,0.910737111,Faroe Islands boreal grasslands
753,Montane Grasslands & Shrublands,6.103751492,1.218973736,Hindu Kush alpine meadow
789,"Mediterranean Forests, Woodlands & Scrub",6.07136703,1.47811904,Crete Mediterranean forests
807,Deserts & Xeric Shrublands,6.067207961,1.171725038,Afghan Mountains semi-desert
770,Montane Grasslands & Shrublands,6.059963446,1.0662121,Yarlung Zanbo arid steppe
750,Montane Grasslands & Shrublands,5.966770924,1.036087896,Central Tibetan Plateau alpine steppe
768,Montane Grasslands & Shrublands,5.945861971,1.073100191,Tibetan Plateau alpine shrublands and meadows
91,Deserts & Xeric Shrublands,5.932355491,0.433896338,Aldabra Island xeric scrub
754,Montane Grasslands & Shrublands,5.927361068,0.858001877,Karakoram-West Tibetan Plateau alpine steppe
677,Temperate Broadleaf & Mixed Forests,5.916662117,1.87398698,Qin Ling Mountains deciduous forests
425,"Mediterranean Forests, Woodlands & Scrub",5.896025735,1.11011005,Santa Lucia Montane Chaparral & Woodlands
759,Montane Grasslands & Shrublands,5.87579601,1.052678263,North Tibetan Plateau-Kunlun Mountains alpine desert
751,Montane Grasslands & Shrublands,5.848822971,1.053472454,Eastern Himalayan alpine shrub and meadows
523,Tropical & Subtropical Dry Broadleaf Forests,5.842609778,0.962222494,Bolivian montane dry forests
787,"Mediterranean Forests, Woodlands & Scrub",5.833648526,1.117682036,Canary Islands dry woodlands and forests
691,Temperate Conifer Forests,5.805272024,0.802983903,Caledon conifer forests
769,Montane Grasslands & Shrublands,5.793913608,0.847008499,Western Himalayan alpine shrub and meadows
762,Montane Grasslands & Shrublands,5.771706991,0.944831976,Pamir alpine desert and tundra
697,Temperate Conifer Forests,5.7685599,1.134804428,Hengduan Mountains subalpine conifer forests
765,Montane Grasslands & Shrublands,5.760152598,1.103418076,Southeast Tibet shrublands and meadows
700,Temperate Conifer Forests,5.746987228,1.027184224,Khangai Mountains conifer forests
194,Montane Grasslands & Shrublands,5.721228482,1.066254105,New Zealand South Island montane grasslands
672,Temperate Broadleaf & Mixed Forests,5.713602301,1.177140158,North Atlantic moist mixed forests
755,Montane Grasslands & Shrublands,5.652490082,1.092547962,Khangai Mountains alpine meadow
561,Temperate Broadleaf & Mixed Forests,5.650632704,1.278009498,Magellanic subpolar forests
175,Temperate Broadleaf & Mixed Forests,5.641942243,1.19447474,Richmond temperate forests
816,Deserts & Xeric Shrublands,5.637528621,1.39960034,Central Afghan Mountains xeric woodlands
704,Temperate Conifer Forests,5.634378575,1.128619904,Nujiang Langcang Gorge alpine conifer and mixed forests
392,"Temperate Grasslands, Savannas & Shrublands",5.632456285,1.09110951,Flint Hills tallgrass prairie
621,Tropical & Subtropical Moist Broadleaf Forests,5.627773523,0.571939401,Eastern Micronesia tropical moist forests
608,Deserts & Xeric Shrublands,5.606307035,0.958413214,Sechura desert
834,Deserts & Xeric Shrublands,5.588384465,1.408851358,Paropamisus xeric woodlands
41,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5.577793011,0.922195994,Drakensberg grasslands
709,Temperate Conifer Forests,5.557497896,1.164395108,Tian Shan montane conifer forests
172,Temperate Broadleaf & Mixed Forests,5.511147162,1.142020028,New Zealand South Island temperate forests
174,Temperate Broadleaf & Mixed Forests,5.484939987,1.38850996,Rakiura Island temperate forests
767,Montane Grasslands & Shrublands,5.457107472,1.169337888,Tian Shan montane steppe and meadows
640,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5.45517585,0.894802578,Hawai'i tropical low shrublands
643,Tropical & Subtropical Moist Broadleaf Forests,5.452068463,1.465792002,Yunnan Plateau subtropical evergreen forests
588,Montane Grasslands & Shrublands,5.429696362,0.753643353,Central Andean puna
304,Tropical & Subtropical Coniferous Forests,5.42235051,1.303785334,Northeast India-Myanmar pine forests
424,"Mediterranean Forests, Woodlands & Scrub",5.421331722,1.128173128,California montane chaparral and woodlands
778,Tundra,5.41710017,0.797909778,Russian Arctic desert
405,Tundra,5.408357515,1.007061774,Alaska-St. Elias Range tundra
409,Tundra,5.405475652,1.05806261,Beringia lowland tundra
359,Temperate Conifer Forests,5.401275093,1.193838852,Northern California coastal forests
180,Temperate Broadleaf & Mixed Forests,5.381359395,1.372481692,Westland temperate forests
404,Tundra,5.380553569,0.859755269,Ahklun and Kilbuck Upland Tundra
763,Montane Grasslands & Shrublands,5.36568929,0.964357114,Qilian Mountains subalpine meadows
86,Montane Grasslands & Shrublands,5.354478307,1.11237858,Rwenzori-Virunga montane moorlands
706,Temperate Conifer Forests,5.352979226,1.162147776,Qionglai-Minshan conifer forests
703,Temperate Conifer Forests,5.35275388,1.451908933,Northern Anatolian conifer and deciduous forests
31,Tropical & Subtropical Dry Broadleaf Forests,5.341480674,0.75161102,Cape Verde Islands dry forests
563,Temperate Broadleaf & Mixed Forests,5.341288973,1.168423206,Valdivian temperate forests
730,"Temperate Grasslands, Savannas & Shrublands",5.338636509,1.477066054,Gissaro-Alai open woodlands
758,Montane Grasslands & Shrublands,5.336384525,0.909892352,Mediterranean High Atlas juniper steppe
40,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5.333328828,1.122606447,Drakensberg Escarpment savanna and thicket
479,Tropical & Subtropical Moist Broadleaf Forests,5.327825683,1.16625844,Marañón dry forests
327,Tropical & Subtropical Coniferous Forests,5.326546827,0.969378234,Sierra Madre Oriental pine-oak forests
109,Deserts & Xeric Shrublands,5.323085102,1.034822033,Southwest Arabian highland xeric scrub
420,Tundra,5.301811468,1.101263981,Pacific Coastal Mountain icefields and tundra
695,Temperate Conifer Forests,5.293927644,1.256552702,Elburz Range forest steppe
100,Deserts & Xeric Shrublands,5.287128046,0.622702537,Madagascar succulent woodlands
650,Temperate Broadleaf & Mixed Forests,5.284489708,1.358229965,Caucasus mixed forests
649,Temperate Broadleaf & Mixed Forests,5.279048965,1.413312657,Caspian Hyrcanian mixed forests
18,Tropical & Subtropical Moist Broadleaf Forests,5.275052478,0.821820846,Madagascar subhumid forests
368,Temperate Conifer Forests,5.274640299,1.204526884,Wasatch and Uinta montane forests
59,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5.254511204,1.093919774,Southwest Arabian montane woodlands and grasslands
556,Tropical & Subtropical Coniferous Forests,5.252957082,0.722880666,Sierra de la Laguna pine-oak forests
307,Temperate Broadleaf & Mixed Forests,5.246463828,1.021402945,Northern Triangle temperate forests
504,Tropical & Subtropical Moist Broadleaf Forests,5.238564155,0.961585134,Southern Andean Yungas
173,Temperate Broadleaf & Mixed Forests,5.237471281,1.297181335,Northland temperate kauri forests
589,Montane Grasslands & Shrublands,5.235855542,0.699249246,Central Andean wet puna
583,Flooded Grasslands & Savannas,5.233851139,0.610316258,Orinoco wetlands
74,Flooded Grasslands & Savannas,5.222364664,0.552994353,Sudd flooded grasslands
613,Mangroves,5.219780427,1.105132089,Mesoamerican Gulf-Caribbean mangroves
788,"Mediterranean Forests, Woodlands & Scrub",5.212923637,1.146006734,Corsican montane broadleaf and mixed forests
708,Temperate Conifer Forests,5.210612722,1.24608234,Scandinavian coastal conifer forests
764,Montane Grasslands & Shrublands,5.209553138,0.885985199,Sayan alpine meadows and tundra
